pid,title,published_date,event_date,url
10525,109年12月31日天然災害停止辦公及上課情形,2021-01-04,2020-12-31,https://www.dgpa.gov.tw/information?uid=374&pid=10525
10524,109年12月30日天然災害停止辦公及上課情形,2020-12-31,2020-12-30,https://www.dgpa.gov.tw/information?uid=374&pid=10524
10307,109年11月7日天然災害停止辦公及上課情形,2020-11-09,2020-11-07,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10304,109年11月6日天然災害停止辦公及上課情形,2020-11-06,2020-11-06,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10303,109年11月5日天然災害停止辦公及上課情形,2020-11-06,2020-11-05,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10261,109年8月27日天然災害停止辦公及上課情形,2020-08-28,2020-08-27,https://www.dgpa.gov.tw/information?uid=374&pid=10261
10259,109年8月26日天然災害停止辦公及上課情形,2020-08-27,2020-08-26,https://www.dgpa.gov.tw/information?uid=374&pid=10259
10247,109年8月11日天然災害停止辦公及上課情形,2020-08-12,2020-08-11,https://www.dgpa.gov.tw/information?uid=374&pid=10247
10246,109年8月10日天然災害停止辦公及上課情形,2020-08-11,2020-08-10,https://www.dgpa.gov.tw/information?uid=374&pid=10246
10162,109年5月23日天然災害停止辦公及上課情形,2020-05-25,2020-05-23,https://www.dgpa.gov.tw/information?uid=374&pid=10162
10161,109年5月22日天然災害停止辦公及上課情形,2020-05-25,2020-05-22,https://www.dgpa.gov.tw/information?uid=374&pid=10161
9921,108年10月31日天然災害停止辦公及上課情形,2019-11-01,2019-10-31,https://www.dgpa.gov.tw/information?uid=374&pid=9921
9894,108年10月1日天然災害停止辦公及上課情形,2019-10-02,2019-10-01,https://www.dgpa.gov.tw/information?uid=374&pid=9894
9889,108年9月30日天然災害停止辦公及上課情形,2019-10-01,2019-09-30,https://www.dgpa.gov.tw/information?uid=374&pid=9889
9821,108年8月25日天然災害停止辦公及上課情形,2019-08-26,2019-08-25,https://www.dgpa.gov.tw/information?uid=374&pid=9821
9820,108年8月24日天然災害停止辦公及上課情形,2019-08-26,2019-08-24,https://www.dgpa.gov.tw/information?uid=374&pid=9820
9819,108年8月23日天然災害停止辦公及上課情形,2019-08-26,2019-08-23,https://www.dgpa.gov.tw/information?uid=374&pid=9819
9815,108年8月16日天然災害停止辦公及上課情形,2019-08-19,2019-08-16,https://www.dgpa.gov.tw/information?uid=374&pid=9815
9814,108年8月15日天然災害停止辦公及上課情形,2019-08-16,2019-08-15,https://www.dgpa.gov.tw/information?uid=374&pid=9814
9812,108年8月13日天然災害停止辦公及上課情形,2019-08-14,2019-08-13,https://www.dgpa.gov.tw/information?uid=374&pid=9812
9807,108年8月12日天然災害停止辦公及上課情形,2019-08-13,2019-08-12,https://www.dgpa.gov.tw/information?uid=374&pid=9807
9805,108年8月11日天然災害停止辦公及上課情形,2019-08-12,2019-08-11,https://www.dgpa.gov.tw/information?uid=374&pid=9805
9804,108年8月10日天然災害停止辦公及上課情形,2019-08-12,2019-08-10,https://www.dgpa.gov.tw/information?uid=374&pid=9804
9803,108年8月9日天然災害停止辦公及上課情形,2019-08-12,2019-08-09,https://www.dgpa.gov.tw/information?uid=374&pid=9803
