notice_pid,notice_date,county,work_status,class_status,period,stopped_score,raw_text,source_url
10657,2021-06-03,基隆市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,臺北市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,新北市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,桃園市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,新竹市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,苗栗縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,臺中市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,彰化縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,雲林縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,嘉義市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,嘉義縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,臺南市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,高雄市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,宜蘭縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,臺東縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,澎湖縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,連江縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10657,2021-06-03,金門縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10657
10658,2021-06-04,屏東縣,normal,normal,full_day,0.0,今天照常上班、照常上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10658
10658,2021-06-04,臺東縣,partial,stopped,evening,0.5,今天照常上班、照常上課。 綠島鄉:今天晚上06:00起停止上班、停止上課。 蘭嶼鄉:今天晚上06:00起停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10658
10670,2021-06-21,高雄市,stopped,stopped,full_day,1.0,六龜區:明天停止上班、停止上課。 甲仙區:明天停止上班、停止上課。 茂林區:明天停止上班、停止上課。 桃源區:明天停止上班、停止上課。 那瑪夏區:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10670
10672,2021-06-22,高雄市,stopped,stopped,full_day,1.0,六龜區:今天停止上班、停止上課。 甲仙區:今天停止上班、停止上課。 茂林區:今天停止上班、停止上課。 桃源區:今天停止上班、停止上課。 那瑪夏區:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10672
10677,2021-06-24,臺東縣,stopped,stopped,full_day,1.0,臺東縣東河鄉北源村:今天停止上班、停止上課。 臺東縣東河鄉尚德村:今天停止上班、停止上課。 臺東縣東河鄉泰源村:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10677
10695,2021-07-22,新竹縣,stopped,stopped,full_day,1.0,五峰國民中學:明天停止上班、停止上課。 五峰鄉五峰國民小學:明天停止上班、停止上課。 五峰鄉花園國民小學:明天停止上班、停止上課。 尖石國民中學:明天停止上班、停止上課。 尖石鄉玉峰國民小學:明天停止上班、停止上課。 尖石鄉石磊國民小學:明天停止上班、停止上課。 尖石鄉秀巒國民小學:明天停止上班、停止上課。 尖石鄉新光國民小學:明天停止上班、停止上課。 新竹縣五峰鄉桃山國民小學:明天停止上班、停止上課。 新竹縣尖石鄉尖石國民小學:明天停止上班、停止上課。 新竹縣尖石鄉梅花國民小學:明天停止上班、停止上課。 新竹縣尖石鄉新樂國民小學:明天停止上班、停止上課。 新竹縣尖石鄉嘉興國民小學:明天停止上班、停止上課。 新竹縣尖石鄉錦屏國民小學:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10695
10696,2021-07-23,桃園市,stopped,stopped,afternoon,0.5,復興區:今天下午03:00起停止上班、停止上課。 復興區:明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10696
